english,arabic
Ahmed,أحمد
Ahmad,أحمد
Mohamed,محمد
Mohammed,محمد
Muhammad,محمد
Mahmoud,محمود
Mostafa,مصطفى
Mustafa,مصطفى
Mahmood,محمود
Ali,علي
Aly,علي
Omar,عمر
Amr,عمرو
Khaled,خالد
Khalid,خالد
Hassan,حسن
Hussein,حسين
Hossam,حسام
Tarek,طارق
Tariq,طارق
Sayed,سيد
Kamal,كمال
Abdullah,عبد الله
Abdelrahman,عبد الرحمن
Abdulrahman,عبد الرحمن
Zaki,زكي
Yousef,يوسف
Youssef,يوسف
Yusuf,يوسف
Ibrahim,إبراهيم
Ismail,إسماعيل
Karim,كريم
Kareem,كريم
Mazen,مازن
Ziad,زياد
Adel,عادل
Sherif,شريف
Ashraf,أشرف
Tamer,تامر
Wael,وائل
Hany,هاني
Hani,هاني
Sameh,سامح
Ramy,رامي
Rami,رامي
Nour,نور
Noor,نور
Mona,منى
Mariam,مريم
Maryam,مريم
Sara,سارة
Sarah,سارة
Salma,سلمى
Nada,ندى
Hana,هنا
Hanan,حنان
Yasmin,ياسمين
Yasmine,ياسمين
Esraa,إسراء
Asmaa,أسماء
Marwa,مروة
Heba,هبة
Dina,دينا
Reem,ريم
Farida,فريدة
Habiba,حبيبة
Malak,ملك
Nourhan,نورهان
Aya,آية
Fatma,فاطمة
Fatima,فاطمة
Amira,أميرة
Doaa,دعاء
Shaimaa,شيماء
Rana,رنا
Layla,ليلى
Laila,ليلى
